"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@shejihohoho @docolumide (1) Jumia isn’t consumer tech compared to Grab/Go Jek (2) Agree with point on internationa… https://t.co/Mr6kkrlOwu",FALSE,0,"shejihohoho",2019-02-26 18:34:21,TRUE,"1100381202144387077","1100464100436369408","1703411918","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unicorndam",0,FALSE,FALSE,NA,NA
"Totally scary.

This was me when I was leaving the VFD Group to join Jumia. 

Eventually became one of my best life… https://t.co/hAdz3HEu1H",FALSE,0,NA,2019-02-26 18:32:26,TRUE,NA,"1100463617487589376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unoroh",0,FALSE,FALSE,NA,NA
"Vacancy at Jumia Nigeria for a Senior Backend Developer, 26th February, 2019 https://t.co/Yibwgn6Aj1",FALSE,0,NA,2019-02-26 18:30:30,FALSE,NA,"1100463132122796032",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","jobzillanigeria",0,FALSE,FALSE,NA,NA
"RT @huaweimobileng: Here are some  reasons why you should definitely get the sleek #Y7Prime2019! It features the the all new Dewdrop Displa…",FALSE,0,NA,2019-02-26 18:22:50,FALSE,NA,"1100461202696744962",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MaximoLei",9,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 18:22:20,FALSE,NA,"1100461074061635584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Triciaduchess",92,TRUE,FALSE,NA,NA
"@triplek_hanna Hello there,
Thank you for choosing Jumia.
Kindly provide a contact we can reach you on for better a… https://t.co/zZ7LPhYfK4",FALSE,0,"triplek_hanna",2019-02-26 18:17:02,TRUE,"1100457780643811329","1100459742391087104","782603154579943424","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"Senior Backend Developer - Jumia Pay at Jumia Nigeria.... https://t.co/Ya4wiWOn9b",FALSE,0,NA,2019-02-26 18:13:12,FALSE,NA,"1100458776170180608",NA,"<a href=""http://uncova.com/jobs"" rel=""nofollow"">uncovajobs</a>","uncovajobs",0,FALSE,FALSE,NA,NA
"@kinghauwa Me sef I know. But the funny thing is na Jumia account reply me that nonsense ooo. Jumia don turn scam. Tueh <U+0001F61E>",FALSE,0,"kinghauwa",2019-02-26 18:13:04,FALSE,"1100458167652286474","1100458741483225088","1475857363","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","triplek_hanna",0,FALSE,FALSE,NA,NA
"RT @huaweimobileng: Here are some  reasons why you should definitely get the sleek #Y7Prime2019! It features the the all new Dewdrop Displa…",FALSE,0,NA,2019-02-26 18:08:13,FALSE,NA,"1100457523474239488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AminaMsnw",9,TRUE,FALSE,NA,NA
"RT @DurexNG: Are you physically fit? <U+0001F601><U+0001F4AA><U+0001F3CB><U+FE0F><U+200D><U+2640><U+FE0F><U+0001F938><U+200D><U+2642><U+FE0F>
Are you in it for the long haul? 
Click here. https://t.co/BZ8jIGbbsx
#LoveLikeAPerforma #…",FALSE,0,NA,2019-02-26 18:01:41,FALSE,NA,"1100455878707343360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abadanriji",8,TRUE,FALSE,NA,NA
